question_id,phase1_response,after_response,change_reason,evidence_strength,phase2_remediation_class,primary_role,na_rationale
CEK-01.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
CEK-01.2,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
CEK-02.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
CEK-03.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
CEK-04.1,YES,YES,"",MODERATE,B_RUNTIME_ARCHITECTURE,OSP,""
CEK-05.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
CEK-06.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
CEK-07.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
CEK-08.1,NO,NO,"",WEAK,H_CUSTOMER_SHARED,OSP,""
CEK-09.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
CEK-09.2,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
CEK-10.1,YES,YES,"",MODERATE,B_RUNTIME_ARCHITECTURE,OSP,""
CEK-11.1,NO,NO,"",WEAK,D_PRODUCTION_EVIDENCE,OSP,""
CEK-12.1,NO,NO,"",WEAK,I_LEGAL_PRIVACY,OSP,""
CEK-13.1,NO,NO,"",WEAK,I_LEGAL_PRIVACY,OSP,""
CEK-14.1,NO,NO,"",WEAK,I_LEGAL_PRIVACY,OSP,""
CEK-15.1,NO,NO,"",NONE,I_LEGAL_PRIVACY,OSP,""
CEK-16.1,NO,NO,"",WEAK,I_LEGAL_PRIVACY,OSP,""
CEK-17.1,NO,NO,"",NONE,I_LEGAL_PRIVACY,OSP,""
CEK-18.1,NO,NO,"",WEAK,I_LEGAL_PRIVACY,OSP,""
CEK-19.1,NO,NO,"",NONE,I_LEGAL_PRIVACY,OSP,""
CEK-20.1,NO,NO,"",WEAK,I_LEGAL_PRIVACY,OSP,""
CEK-21.1,NO,NO,"",WEAK,I_LEGAL_PRIVACY,OSP,""
DCS-01.1,NO,NO,"",WEAK,G_CLOUD_SUBPROCESSOR,OSP,""
DCS-01.2,NO,NO,"",WEAK,G_CLOUD_SUBPROCESSOR,OSP,""
DCS-02.1,NO,NO,"",WEAK,G_CLOUD_SUBPROCESSOR,OSP,""
DCS-02.2,NO,NO,"",WEAK,G_CLOUD_SUBPROCESSOR,OSP,""
DCS-02.3,NO,NO,"",WEAK,G_CLOUD_SUBPROCESSOR,OSP,""
DCS-03.1,NA,NA,"",MODERATE,L_NOT_APPLICABLE_CANDIDATE,OSP,"NA_RATIONALE: control targets physical datacenter/media/hypervisor operations. WhitePact does not operate physical infrastructure; cloud provider SSRM. Customer may verify provider attestations separa"
DCS-03.2,NO,NO,"",WEAK,G_CLOUD_SUBPROCESSOR,OSP,""
DCS-03.3,NA,NA,"",MODERATE,L_NOT_APPLICABLE_CANDIDATE,OSP,"NA_RATIONALE: control targets physical datacenter/media/hypervisor operations. WhitePact does not operate physical infrastructure; cloud provider SSRM. Customer may verify provider attestations separa"
DCS-04.1,NO,NO,"",WEAK,G_CLOUD_SUBPROCESSOR,OSP,""
DCS-04.2,NO,NO,"",WEAK,G_CLOUD_SUBPROCESSOR,OSP,""
DCS-05.1,NA,NA,"",MODERATE,L_NOT_APPLICABLE_CANDIDATE,OSP,"NA_RATIONALE: control targets physical datacenter/media/hypervisor operations. WhitePact does not operate physical infrastructure; cloud provider SSRM. Customer may verify provider attestations separa"
DCS-05.2,NA,NA,"",MODERATE,L_NOT_APPLICABLE_CANDIDATE,OSP,"NA_RATIONALE: control targets physical datacenter/media/hypervisor operations. WhitePact does not operate physical infrastructure; cloud provider SSRM. Customer may verify provider attestations separa"
DCS-06.1,NO,NO,"",WEAK,G_CLOUD_SUBPROCESSOR,OSP,""
DCS-06.2,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
DCS-07.1,NO,NO,"",WEAK,G_CLOUD_SUBPROCESSOR,OSP,""
DCS-07.2,NO,NO,"",WEAK,G_CLOUD_SUBPROCESSOR,OSP,""
DCS-08.1,NO,NO,"",WEAK,G_CLOUD_SUBPROCESSOR,OSP,""
DCS-09.1,NO,NO,"",WEAK,G_CLOUD_SUBPROCESSOR,OSP,""
DCS-10.1,NO,NO,"",WEAK,G_CLOUD_SUBPROCESSOR,OSP,""
DCS-10.2,NO,NO,"",WEAK,M_OTHER_EXPLAINED,OSP,""
DCS-11.1,NO,NO,"",WEAK,G_CLOUD_SUBPROCESSOR,OSP,""
DCS-12.1,NO,NO,"",WEAK,G_CLOUD_SUBPROCESSOR,OSP,""
DCS-13.1,NO,NO,"",WEAK,G_CLOUD_SUBPROCESSOR,OSP,""
DCS-14.1,NO,NO,"",WEAK,G_CLOUD_SUBPROCESSOR,OSP,""
DCS-15.1,NO,NO,"",WEAK,G_CLOUD_SUBPROCESSOR,OSP,""
DCS-16.1,NA,NA,"",MODERATE,L_NOT_APPLICABLE_CANDIDATE,OSP,"NA_RATIONALE: control targets physical datacenter/media/hypervisor operations. WhitePact does not operate physical infrastructure; cloud provider SSRM. Customer may verify provider attestations separa"
DCS-17.1,NA,NA,"",MODERATE,L_NOT_APPLICABLE_CANDIDATE,OSP,"NA_RATIONALE: control targets physical datacenter/media/hypervisor operations. WhitePact does not operate physical infrastructure; cloud provider SSRM. Customer may verify provider attestations separa"
DCS-18.1,NA,NA,"",MODERATE,L_NOT_APPLICABLE_CANDIDATE,OSP,""
DSP-01.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
DSP-01.2,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
DSP-02.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
DSP-03.1,NO,NO,"",WEAK,I_LEGAL_PRIVACY,OSP,""
DSP-03.2,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
DSP-04.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
DSP-05.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
DSP-05.2,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
DSP-06.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
DSP-06.2,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
DSP-07.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
DSP-08.1,NO,NO,"",WEAK,I_LEGAL_PRIVACY,OSP,""
DSP-08.2,NO,NO,"",WEAK,I_LEGAL_PRIVACY,OSP,""
DSP-09.1,NO,NO,"",WEAK,I_LEGAL_PRIVACY,OSP,""
DSP-10.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
DSP-11.1,NO,NO,"",WEAK,I_LEGAL_PRIVACY,OSP,""
DSP-12.1,NO,NO,"",WEAK,I_LEGAL_PRIVACY,OSP,""
DSP-13.1,NO,NO,"",WEAK,E_CI_SUPPLY_CHAIN,OSP,""
DSP-14.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
DSP-15.1,NO,NO,"",WEAK,D_PRODUCTION_EVIDENCE,OSP,""
DSP-16.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
DSP-17.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
DSP-18.1,NO,NO,"",WEAK,I_LEGAL_PRIVACY,OSP,""
DSP-19.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
DSP-20.1,YES,YES,"",MODERATE,I_LEGAL_PRIVACY,OSP,""
DSP-21.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
DSP-22.1,NO,NO,"",WEAK,I_LEGAL_PRIVACY,OSP,""
DSP-23.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
DSP-23.2,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
DSP-24.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
GRC-01.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
GRC-01.2,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
GRC-02.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
GRC-03.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
GRC-04.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
GRC-05.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
GRC-06.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
GRC-07.1,NO,NO,"",WEAK,I_LEGAL_PRIVACY,OSP,""
GRC-07.2,NO,NO,"",WEAK,I_LEGAL_PRIVACY,OSP,""
GRC-08.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
GRC-09.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
GRC-09.2,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
GRC-10.1,NO,NO,"",WEAK,I_LEGAL_PRIVACY,OSP,""
GRC-11.1,YES,YES,"",MODERATE,F_ORGANIZATIONAL,OSP,""
GRC-12.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
GRC-13.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
GRC-14.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
GRC-15.1,YES,YES,"",STRONG,F_ORGANIZATIONAL,OSP,""
HRS-01.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
HRS-01.2,NO,NO,"",NONE,F_ORGANIZATIONAL,OSP,""
HRS-01.3,NO,NO,"",NONE,F_ORGANIZATIONAL,OSP,""
HRS-02.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
HRS-02.2,NO,NO,"",NONE,F_ORGANIZATIONAL,OSP,""
HRS-03.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
HRS-03.2,NO,NO,"",NONE,F_ORGANIZATIONAL,OSP,""
HRS-04.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
HRS-04.2,NO,NO,"",NONE,F_ORGANIZATIONAL,OSP,""
HRS-05.1,NO,NO,"",NONE,F_ORGANIZATIONAL,OSP,""
HRS-06.1,NO,NO,"",NONE,F_ORGANIZATIONAL,OSP,""
HRS-07.1,NO,NO,"",NONE,F_ORGANIZATIONAL,OSP,""
HRS-08.1,NO,NO,"",NONE,F_ORGANIZATIONAL,OSP,""
HRS-09.1,NO,NO,"",WEAK,I_LEGAL_PRIVACY,OSP,""
HRS-10.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
HRS-11.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
HRS-11.2,NO,NO,"",NONE,F_ORGANIZATIONAL,OSP,""
HRS-12.1,NO,NO,"",NONE,I_LEGAL_PRIVACY,OSP,""
HRS-13.1,NO,NO,"",WEAK,I_LEGAL_PRIVACY,OSP,""
HRS-14.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
HRS-14.2,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
HRS-15.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
IAM-01.1,NO,YES,"Phase2: NO -> YES; WhitePact verified as OSP/AP (not MP/CSP): independent authorization layer; domain=IAM; see compliance/csa-star-ai/WHITE",STRONG,A_SOURCE_CODE,OSP,""
IAM-01.2,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
IAM-02.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
IAM-02.2,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
IAM-03.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
IAM-04.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
IAM-05.1,YES,YES,"",MODERATE,A_SOURCE_CODE,OSP,""
IAM-06.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
IAM-07.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
IAM-08.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
IAM-09.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
IAM-10.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
IAM-10.2,NO,NO,"",NONE,B_RUNTIME_ARCHITECTURE,OSP,""
IAM-11.1,NO,NO,"",WEAK,H_CUSTOMER_SHARED,OSP,""
IAM-12.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
IAM-13.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
IAM-13.2,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
IAM-14.1,NO,NO,"",WEAK,A_SOURCE_CODE,OSP,""
IAM-15.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
IAM-16.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
IAM-17.1,YES,YES,"",MODERATE,A_SOURCE_CODE,OSP,""
IAM-18.1,YES,YES,"",MODERATE,A_SOURCE_CODE,OSP,""
IPY-01.1,NO,NO,"",WEAK,I_LEGAL_PRIVACY,OSP,""
IPY-01.2,NO,NO,"",WEAK,I_LEGAL_PRIVACY,OSP,""
IPY-02.1,NO,NO,"",WEAK,I_LEGAL_PRIVACY,OSP,""
IPY-03.1,NO,NO,"",WEAK,I_LEGAL_PRIVACY,OSP,""
IPY-04.1,NO,NO,"",WEAK,I_LEGAL_PRIVACY,OSP,""
I&S-01.1,NO,NO,"",WEAK,M_OTHER_EXPLAINED,OSP,""
I&S-01.2,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
I&S-02.1,NO,NO,"",WEAK,M_OTHER_EXPLAINED,OSP,""
I&S-03.1,NO,NO,"",WEAK,C_INFRA_CONFIGURATION,OSP,""
I&S-03.2,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
I&S-04.1,NA,NA,"",MODERATE,L_NOT_APPLICABLE_CANDIDATE,OSP,"NA_RATIONALE: control targets physical datacenter/media/hypervisor operations. WhitePact does not operate physical infrastructure; cloud provider SSRM. Customer may verify provider attestations separa"
I&S-05.1,NO,NO,"",WEAK,D_PRODUCTION_EVIDENCE,OSP,""
I&S-05.2,NO,NO,"",WEAK,D_PRODUCTION_EVIDENCE,OSP,""
I&S-06.1,YES,YES,"",MODERATE,H_CUSTOMER_SHARED,OSP,""
I&S-07.1,NO,NO,"",NONE,G_CLOUD_SUBPROCESSOR,OSP,""
I&S-07.2,NO,NO,"",NONE,G_CLOUD_SUBPROCESSOR,OSP,""
I&S-08.1,NO,NO,"",WEAK,C_INFRA_CONFIGURATION,OSP,""
I&S-09.1,NO,NO,"",WEAK,M_OTHER_EXPLAINED,OSP,""
LOG-01.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
LOG-01.2,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
LOG-02.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
LOG-03.1,NO,NO,"",WEAK,A_SOURCE_CODE,OSP,""
LOG-03.2,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
LOG-04.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
LOG-05.1,NO,NO,"",WEAK,A_SOURCE_CODE,OSP,""
LOG-05.2,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
LOG-06.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
LOG-07.1,NO,YES,"Phase2: NO -> YES; WhitePact verified as OSP/AP (not MP/CSP): independent authorization layer; domain=LOG; see compliance/csa-star-ai/WHITE",STRONG,A_SOURCE_CODE,OSP,""
LOG-07.2,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
LOG-08.1,NO,NO,"",WEAK,H_CUSTOMER_SHARED,OSP,""
LOG-09.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
LOG-10.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
LOG-11.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
LOG-12.1,NO,NO,"",NONE,B_RUNTIME_ARCHITECTURE,OSP,""
LOG-13.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
LOG-14.1,NO,YES,"Phase2: NO -> YES; WhitePact verified as OSP/AP (not MP/CSP): independent authorization layer; domain=LOG; see compliance/csa-star-ai/WHITE",STRONG,A_SOURCE_CODE,OSP,""
LOG-14.2,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
LOG-15.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
LOG-16.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
MDS-01.1,NO,NA,"Phase2: MDS scope → NA (OSP not MP)",NONE,L_NOT_APPLICABLE_CANDIDATE,OSP,"NA_RATIONALE: Model Development Security for training/signing/checkpoint pipelines. WhitePact does not train, fine-tune, sign, or host proprietary model weights (OSP/AP only). Upstream Model Provider "
MDS-01.2,NO,NA,"Phase2: MDS scope → NA (OSP not MP)",NONE,L_NOT_APPLICABLE_CANDIDATE,OSP,"NA_RATIONALE: MDS control assumes WhitePact develops/deploys model artifacts. Repository review shows governance/orchestration only — no model-development pipeline."
MDS-02.1,NO,NA,"Phase2: MDS scope → NA (OSP not MP)",NONE,L_NOT_APPLICABLE_CANDIDATE,OSP,"NA_RATIONALE: MDS control assumes WhitePact develops/deploys model artifacts. Repository review shows governance/orchestration only — no model-development pipeline."
MDS-02.2,NO,NA,"Phase2: MDS scope → NA (OSP not MP)",NONE,L_NOT_APPLICABLE_CANDIDATE,OSP,"NA_RATIONALE: MDS control assumes WhitePact develops/deploys model artifacts. Repository review shows governance/orchestration only — no model-development pipeline."
MDS-03.1,NO,NA,"Phase2: MDS scope → NA (OSP not MP)",NONE,L_NOT_APPLICABLE_CANDIDATE,OSP,"NA_RATIONALE: MDS control assumes WhitePact develops/deploys model artifacts. Repository review shows governance/orchestration only — no model-development pipeline."
MDS-03.2,NO,NA,"Phase2: MDS scope → NA (OSP not MP)",NONE,L_NOT_APPLICABLE_CANDIDATE,OSP,"NA_RATIONALE: MDS control assumes WhitePact develops/deploys model artifacts. Repository review shows governance/orchestration only — no model-development pipeline."
MDS-04.1,NO,NA,"Phase2: MDS scope → NA (OSP not MP)",NONE,L_NOT_APPLICABLE_CANDIDATE,OSP,"NA_RATIONALE: MDS control assumes WhitePact develops/deploys model artifacts. Repository review shows governance/orchestration only — no model-development pipeline."
MDS-05.1,NO,NA,"Phase2: MDS scope → NA (OSP not MP)",NONE,L_NOT_APPLICABLE_CANDIDATE,OSP,"NA_RATIONALE: MDS control assumes WhitePact develops/deploys model artifacts. Repository review shows governance/orchestration only — no model-development pipeline."
MDS-06.1,NO,NA,"Phase2: MDS scope → NA (OSP not MP)",NONE,L_NOT_APPLICABLE_CANDIDATE,OSP,"NA_RATIONALE: MDS control assumes WhitePact develops/deploys model artifacts. Repository review shows governance/orchestration only — no model-development pipeline."
MDS-07.1,NO,NA,"Phase2: MDS scope → NA (OSP not MP)",NONE,L_NOT_APPLICABLE_CANDIDATE,OSP,"NA_RATIONALE: MDS control assumes WhitePact develops/deploys model artifacts. Repository review shows governance/orchestration only — no model-development pipeline."
MDS-08.1,NO,NA,"Phase2: MDS scope → NA (OSP not MP)",NONE,L_NOT_APPLICABLE_CANDIDATE,OSP,"NA_RATIONALE: Model Development Security for training/signing/checkpoint pipelines. WhitePact does not train, fine-tune, sign, or host proprietary model weights (OSP/AP only). Upstream Model Provider "
MDS-08.2,NO,NA,"Phase2: MDS scope → NA (OSP not MP)",NONE,L_NOT_APPLICABLE_CANDIDATE,OSP,"NA_RATIONALE: MDS control assumes WhitePact develops/deploys model artifacts. Repository review shows governance/orchestration only — no model-development pipeline."
MDS-09.1,NO,NA,"Phase2: MDS scope → NA (OSP not MP)",NONE,L_NOT_APPLICABLE_CANDIDATE,OSP,"NA_RATIONALE: Model Development Security for training/signing/checkpoint pipelines. WhitePact does not train, fine-tune, sign, or host proprietary model weights (OSP/AP only). Upstream Model Provider "
MDS-10.1,NO,NA,"Phase2: MDS scope → NA (OSP not MP)",NONE,L_NOT_APPLICABLE_CANDIDATE,OSP,"NA_RATIONALE: MDS control assumes WhitePact develops/deploys model artifacts. Repository review shows governance/orchestration only — no model-development pipeline."
MDS-11.1,NO,NO,"",WEAK,K_MODEL_PROVIDER,OSP,""
MDS-11.2,NO,NA,"Phase2: MDS scope → NA (OSP not MP)",NONE,L_NOT_APPLICABLE_CANDIDATE,OSP,"NA_RATIONALE: MDS control assumes WhitePact develops/deploys model artifacts. Repository review shows governance/orchestration only — no model-development pipeline."
MDS-12.1,NO,NO,"",WEAK,K_MODEL_PROVIDER,OSP,""
MDS-12.2,NO,NA,"Phase2: MDS scope → NA (OSP not MP)",NONE,L_NOT_APPLICABLE_CANDIDATE,OSP,"NA_RATIONALE: MDS control assumes WhitePact develops/deploys model artifacts. Repository review shows governance/orchestration only — no model-development pipeline."
MDS-13.1,NO,NA,"Phase2: MDS scope → NA (OSP not MP)",NONE,L_NOT_APPLICABLE_CANDIDATE,OSP,"NA_RATIONALE: MDS control assumes WhitePact develops/deploys model artifacts. Repository review shows governance/orchestration only — no model-development pipeline."
SEF-01.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
SEF-01.2,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
SEF-02.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
SEF-02.2,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
SEF-03.1,NO,NO,"",WEAK,H_CUSTOMER_SHARED,OSP,""
SEF-04.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
SEF-05.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
SEF-06.1,YES,YES,"",MODERATE,F_ORGANIZATIONAL,OSP,""
SEF-07.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
SEF-07.2,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
SEF-08.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
SEF-08.2,NO,NO,"",WEAK,E_CI_SUPPLY_CHAIN,OSP,""
SEF-09.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
SEF-09.2,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
SEF-10.1,NO,NO,"",WEAK,I_LEGAL_PRIVACY,OSP,""
SEF-10.2,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
STA-01.1,NO,NO,"",WEAK,E_CI_SUPPLY_CHAIN,OSP,""
STA-01.2,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
STA-02.1,NO,NO,"",WEAK,H_CUSTOMER_SHARED,OSP,""
STA-02.2,NO,NO,"",WEAK,H_CUSTOMER_SHARED,OSP,""
