question_id,domain,response,phase2_remediation_class,implementation_state,why_no,missing_evidence,remediation_owner,technical_vs_human,cursor_can_remediate,production_evidence_required,external_party_required
CEK-06.1,CEK,NO,B_RUNTIME_ARCHITECTURE,MISSING,OWNER ASSERTION / narrative only — no verifiable repository implementation cited. Standard git PR review + full test suite; no crypto-specific change board.,,CSP (WhitePact),technical,True,False,False
CEK-07.1,CEK,NO,B_RUNTIME_ARCHITECTURE,MISSING,"No formal, separately-documented crypto risk program -- covered informally within THREAT_MODEL.md.",,CSP (WhitePact),technical,True,False,False
CEK-08.1,CEK,NO,H_CUSTOMER_SHARED,MISSING,Customers do not currently manage their own encryption keys -- RAI_FIELD_ENCRYPTION_KEY is operator-controlled.,,CSC (customer),technical,False,False,False
CEK-09.1,CEK,NO,B_RUNTIME_ARCHITECTURE,MISSING,No independent third-party audit of crypto systems yet.,,CSP (WhitePact),technical,True,False,False
CEK-09.2,CEK,NO,F_ORGANIZATIONAL,MISSING,DOCUMENTED PROCESS / policy text only — not operational proof per compliance/CAIQ_EVIDENCE_BOUNDARY.md. Not yet audited on a recurring cadence -- see compliance/NO_BUDGET_TRUST_PATH.md for the interim path.,,CSP (WhitePact),human,False,False,False
CEK-11.1,CEK,NO,D_PRODUCTION_EVIDENCE,MISSING,"OWNER ASSERTION / narrative only — no verifiable repository implementation cited. Each encrypted column uses the same Fernet/MultiFernet key set for a single, well-defined purpose (field encryption).",,CSP (WhitePact),technical,False,True,False
CEK-12.1,CEK,NO,I_LEGAL_PRIVACY,MISSING,"DOCUMENTED PROCESS / policy text only — not operational proof per compliance/CAIQ_EVIDENCE_BOUNDARY.md. No automatic time-based rotation policy -- rotation is manual, documented in compliance/KEY_MANAGEMENT.md.",,CSP (WhitePact),technical,False,False,True
CEK-13.1,CEK,NO,I_LEGAL_PRIVACY,MISSING,"OWNER ASSERTION / narrative only — no verifiable repository implementation cited. MultiFernet key-list rotation: new key placed first, old key(s) kept for decrypt-only until scripts/rotate_field_encryption_key.py re-encrypts existing rows, documented in compliance/KEY_MANAGEMENT.md.",,CSP (WhitePact),technical,False,False,True
CEK-14.1,CEK,NO,I_LEGAL_PRIVACY,MISSING,OWNER ASSERTION / narrative only — no verifiable repository implementation cited. Old keys are dropped from RAI_FIELD_ENCRYPTION_KEY once the rotation sweep completes (compliance/KEY_MANAGEMENT.md).,,CSP (WhitePact),technical,False,False,True
CEK-15.1,CEK,NO,I_LEGAL_PRIVACY,MISSING,Not applicable -- no pre-activation key state concept in the current Fernet/MultiFernet scheme.,,CSP (WhitePact),technical,False,False,True
CEK-16.1,CEK,NO,I_LEGAL_PRIVACY,MISSING,No formal key-transition approval workflow -- single-operator key custody today.,,CSP (WhitePact),technical,False,False,True
CEK-17.1,CEK,NO,I_LEGAL_PRIVACY,MISSING,Not applicable -- Fernet keys used here have no built-in expiration-date concept; rotation is manual/event-driven.,,CSP (WhitePact),technical,False,False,True
CEK-18.1,CEK,NO,I_LEGAL_PRIVACY,MISSING,DOCUMENTED PROCESS / policy text only — not operational proof per compliance/CAIQ_EVIDENCE_BOUNDARY.md. No separate archived-key repository; retired keys are removed from the active key list per compliance/KEY_MANAGEMENT.md's rotation procedure.,,CSP (WhitePact),technical,False,False,True
CEK-19.1,CEK,NO,I_LEGAL_PRIVACY,MISSING,Not applicable -- no defined scenario for intentionally using a known-compromised key.,,CSP (WhitePact),technical,False,False,True
CEK-20.1,CEK,NO,I_LEGAL_PRIVACY,MISSING,No formal documented risk-assessment process for this specific tradeoff.,,CSP (WhitePact),technical,False,False,True
CEK-21.1,CEK,NO,I_LEGAL_PRIVACY,MISSING,"DOCUMENTED PROCESS / policy text only — not operational proof per compliance/CAIQ_EVIDENCE_BOUNDARY.md. Key lifecycle events (rotation) are manual and documented in compliance/KEY_MANAGEMENT.md, not machine-tracked/reported.",Collect provider attestation or implement in-repo control.,CSP (WhitePact),technical,False,False,True
DCS-01.1,DCS,NO,G_CLOUD_SUBPROCESSOR,PROVIDER_DEPENDENT,DOCUMENTED PROCESS / policy text only — not operational proof per compliance/CAIQ_EVIDENCE_BOUNDARY.md. Not applicable -- WhitePact operates no physical premises/datacenter of its own; entirely on managed cloud PaaS (Render/Supabase/Upstash). See compliance/VENDOR_RISK_ASSESSMENT.md for each vendor's own physical-security posture.,Collect provider attestation or implement in-repo control.,Cloud / third-party provider,provider,False,False,True
DCS-01.2,DCS,NO,G_CLOUD_SUBPROCESSOR,PROVIDER_DEPENDENT,DOCUMENTED PROCESS / policy text only — not operational proof per compliance/CAIQ_EVIDENCE_BOUNDARY.md. Not applicable -- WhitePact operates no physical premises/datacenter of its own; entirely on managed cloud PaaS (Render/Supabase/Upstash). See compliance/VENDOR_RISK_ASSESSMENT.md for each vendor's own physical-security posture.,Collect provider attestation or implement in-repo control.,Cloud / third-party provider,provider,False,False,True
DCS-02.1,DCS,NO,G_CLOUD_SUBPROCESSOR,PROVIDER_DEPENDENT,DOCUMENTED PROCESS / policy text only — not operational proof per compliance/CAIQ_EVIDENCE_BOUNDARY.md. Not applicable -- WhitePact operates no physical premises/datacenter of its own; entirely on managed cloud PaaS (Render/Supabase/Upstash). See compliance/VENDOR_RISK_ASSESSMENT.md for each vendor's own physical-security posture.,Collect provider attestation or implement in-repo control.,Cloud / third-party provider,provider,False,False,True
DCS-02.2,DCS,NO,G_CLOUD_SUBPROCESSOR,PROVIDER_DEPENDENT,DOCUMENTED PROCESS / policy text only — not operational proof per compliance/CAIQ_EVIDENCE_BOUNDARY.md. Not applicable -- WhitePact operates no physical premises/datacenter of its own; entirely on managed cloud PaaS (Render/Supabase/Upstash). See compliance/VENDOR_RISK_ASSESSMENT.md for each vendor's own physical-security posture.,Collect provider attestation or implement in-repo control.,Cloud / third-party provider,provider,False,False,True
DCS-02.3,DCS,NO,G_CLOUD_SUBPROCESSOR,PROVIDER_DEPENDENT,DOCUMENTED PROCESS / policy text only — not operational proof per compliance/CAIQ_EVIDENCE_BOUNDARY.md. Not applicable -- WhitePact operates no physical premises/datacenter of its own; entirely on managed cloud PaaS (Render/Supabase/Upstash). See compliance/VENDOR_RISK_ASSESSMENT.md for each vendor's own physical-security posture.,Collect provider attestation or implement in-repo control.,Cloud / third-party provider,provider,False,False,True
DCS-03.2,DCS,NO,G_CLOUD_SUBPROCESSOR,MISSING,DOCUMENTED PROCESS / policy text only — not operational proof per compliance/CAIQ_EVIDENCE_BOUNDARY.md. Not applicable -- WhitePact operates no physical premises/datacenter of its own; entirely on managed cloud PaaS (Render/Supabase/Upstash). See compliance/VENDOR_RISK_ASSESSMENT.md for each vendor's own physical-security posture.,Collect provider attestation or implement in-repo control.,Cloud / third-party provider,provider,False,False,True
DCS-04.1,DCS,NO,G_CLOUD_SUBPROCESSOR,PROVIDER_DEPENDENT,DOCUMENTED PROCESS / policy text only — not operational proof per compliance/CAIQ_EVIDENCE_BOUNDARY.md. Not applicable -- WhitePact operates no physical premises/datacenter of its own; entirely on managed cloud PaaS (Render/Supabase/Upstash). See compliance/VENDOR_RISK_ASSESSMENT.md for each vendor's own physical-security posture.,Collect provider attestation or implement in-repo control.,Cloud / third-party provider,provider,False,False,True
DCS-04.2,DCS,NO,G_CLOUD_SUBPROCESSOR,PROVIDER_DEPENDENT,DOCUMENTED PROCESS / policy text only — not operational proof per compliance/CAIQ_EVIDENCE_BOUNDARY.md. Not applicable -- WhitePact operates no physical premises/datacenter of its own; entirely on managed cloud PaaS (Render/Supabase/Upstash). See compliance/VENDOR_RISK_ASSESSMENT.md for each vendor's own physical-security posture.,Collect provider attestation or implement in-repo control.,Cloud / third-party provider,provider,False,False,True
DCS-06.1,DCS,NO,G_CLOUD_SUBPROCESSOR,PROVIDER_DEPENDENT,DOCUMENTED PROCESS / policy text only — not operational proof per compliance/CAIQ_EVIDENCE_BOUNDARY.md. Not applicable -- WhitePact operates no physical premises/datacenter of its own; entirely on managed cloud PaaS (Render/Supabase/Upstash). See compliance/VENDOR_RISK_ASSESSMENT.md for each vendor's own physical-security posture.,Collect provider attestation or implement in-repo control.,Cloud / third-party provider,provider,False,False,True
DCS-06.2,DCS,NO,F_ORGANIZATIONAL,PROVIDER_DEPENDENT,No formal annual review cadence — policies updated with codebase changes. See GOVERNANCE.md; not calendar-driven operational proof.,,CSP (WhitePact),human,False,False,False
DCS-07.1,DCS,NO,G_CLOUD_SUBPROCESSOR,PROVIDER_DEPENDENT,DOCUMENTED PROCESS / policy text only — not operational proof per compliance/CAIQ_EVIDENCE_BOUNDARY.md. Not applicable -- WhitePact operates no physical premises/datacenter of its own; entirely on managed cloud PaaS (Render/Supabase/Upstash). See compliance/VENDOR_RISK_ASSESSMENT.md for each vendor's own physical-security posture.,Collect provider attestation or implement in-repo control.,Cloud / third-party provider,provider,False,False,True
DCS-07.2,DCS,NO,G_CLOUD_SUBPROCESSOR,PROVIDER_DEPENDENT,DOCUMENTED PROCESS / policy text only — not operational proof per compliance/CAIQ_EVIDENCE_BOUNDARY.md. Not applicable -- WhitePact operates no physical premises/datacenter of its own; entirely on managed cloud PaaS (Render/Supabase/Upstash). See compliance/VENDOR_RISK_ASSESSMENT.md for each vendor's own physical-security posture.,Collect provider attestation or implement in-repo control.,Cloud / third-party provider,provider,False,False,True
DCS-08.1,DCS,NO,G_CLOUD_SUBPROCESSOR,PROVIDER_DEPENDENT,DOCUMENTED PROCESS / policy text only — not operational proof per compliance/CAIQ_EVIDENCE_BOUNDARY.md. Not applicable -- WhitePact operates no physical premises/datacenter of its own; entirely on managed cloud PaaS (Render/Supabase/Upstash). See compliance/VENDOR_RISK_ASSESSMENT.md for each vendor's own physical-security posture.,Collect provider attestation or implement in-repo control.,Cloud / third-party provider,provider,False,False,True
DCS-09.1,DCS,NO,G_CLOUD_SUBPROCESSOR,PROVIDER_DEPENDENT,DOCUMENTED PROCESS / policy text only — not operational proof per compliance/CAIQ_EVIDENCE_BOUNDARY.md. Not applicable -- WhitePact operates no physical premises/datacenter of its own; entirely on managed cloud PaaS (Render/Supabase/Upstash). See compliance/VENDOR_RISK_ASSESSMENT.md for each vendor's own physical-security posture.,Collect provider attestation or implement in-repo control.,Cloud / third-party provider,provider,False,False,True
DCS-10.1,DCS,NO,G_CLOUD_SUBPROCESSOR,PROVIDER_DEPENDENT,DOCUMENTED PROCESS / policy text only — not operational proof per compliance/CAIQ_EVIDENCE_BOUNDARY.md. Not applicable -- WhitePact operates no physical premises/datacenter of its own; entirely on managed cloud PaaS (Render/Supabase/Upstash). See compliance/VENDOR_RISK_ASSESSMENT.md for each vendor's own physical-security posture.,Collect provider attestation or implement in-repo control.,Cloud / third-party provider,provider,False,False,True
DCS-10.2,DCS,NO,M_OTHER_EXPLAINED,PROVIDER_DEPENDENT,No formal datacenter access-control log retention program.,,CSP (WhitePact),technical,False,False,False
DCS-11.1,DCS,NO,G_CLOUD_SUBPROCESSOR,PROVIDER_DEPENDENT,DOCUMENTED PROCESS / policy text only — not operational proof per compliance/CAIQ_EVIDENCE_BOUNDARY.md. Not applicable -- WhitePact operates no physical premises/datacenter of its own; entirely on managed cloud PaaS (Render/Supabase/Upstash). See compliance/VENDOR_RISK_ASSESSMENT.md for each vendor's own physical-security posture.,Collect provider attestation or implement in-repo control.,Cloud / third-party provider,provider,False,False,True
DCS-12.1,DCS,NO,G_CLOUD_SUBPROCESSOR,PROVIDER_DEPENDENT,DOCUMENTED PROCESS / policy text only — not operational proof per compliance/CAIQ_EVIDENCE_BOUNDARY.md. Not applicable -- WhitePact operates no physical premises/datacenter of its own; entirely on managed cloud PaaS (Render/Supabase/Upstash). See compliance/VENDOR_RISK_ASSESSMENT.md for each vendor's own physical-security posture.,Collect provider attestation or implement in-repo control.,Cloud / third-party provider,provider,False,False,True
DCS-13.1,DCS,NO,G_CLOUD_SUBPROCESSOR,PROVIDER_DEPENDENT,DOCUMENTED PROCESS / policy text only — not operational proof per compliance/CAIQ_EVIDENCE_BOUNDARY.md. Not applicable -- WhitePact operates no physical premises/datacenter of its own; entirely on managed cloud PaaS (Render/Supabase/Upstash). See compliance/VENDOR_RISK_ASSESSMENT.md for each vendor's own physical-security posture.,Collect provider attestation or implement in-repo control.,Cloud / third-party provider,provider,False,False,True
DCS-14.1,DCS,NO,G_CLOUD_SUBPROCESSOR,PROVIDER_DEPENDENT,DOCUMENTED PROCESS / policy text only — not operational proof per compliance/CAIQ_EVIDENCE_BOUNDARY.md. Not applicable -- WhitePact operates no physical premises/datacenter of its own; entirely on managed cloud PaaS (Render/Supabase/Upstash). See compliance/VENDOR_RISK_ASSESSMENT.md for each vendor's own physical-security posture.,Collect provider attestation or implement in-repo control.,Cloud / third-party provider,provider,False,False,True
DCS-15.1,DCS,NO,G_CLOUD_SUBPROCESSOR,PROVIDER_DEPENDENT,DOCUMENTED PROCESS / policy text only — not operational proof per compliance/CAIQ_EVIDENCE_BOUNDARY.md. Not applicable -- WhitePact operates no physical premises/datacenter of its own; entirely on managed cloud PaaS (Render/Supabase/Upstash). See compliance/VENDOR_RISK_ASSESSMENT.md for each vendor's own physical-security posture.,Collect provider attestation or implement in-repo control.,Cloud / third-party provider,provider,False,False,True
DSP-01.1,DSP,NO,F_ORGANIZATIONAL,MISSING,"OWNER ASSERTION / narrative only — no verifiable repository implementation cited. PRIVACY_POLICY.md + ENTERPRISE_SECURITY.md's Data Classification section (drafted, not yet attorney-reviewed).",,CSP (WhitePact),human,False,False,False
DSP-01.2,DSP,NO,F_ORGANIZATIONAL,MISSING,"No formal annual review cadence yet -- solo-founder team, policies are updated as the codebase changes rather than on a calendar. See GOVERNANCE.md.",Owner sign-off required.,CSP (WhitePact),human,False,False,False
DSP-02.1,DSP,NO,F_ORGANIZATIONAL,MISSING,Storage-media disposal is inherited from Supabase/Render's own infrastructure lifecycle -- not directly controlled.,Collect provider attestation or implement in-repo control.,Cloud / third-party provider,human,False,False,False
DSP-03.1,DSP,NO,I_LEGAL_PRIVACY,MISSING,"OWNER ASSERTION / narrative only — no verifiable repository implementation cited. PII columns are explicitly enumerated (compliance/KEY_MANAGEMENT.md's 'Columns currently using EncryptedString' list) -- a real, current inventory, not a separate formal data-inventory document.",,CSP (WhitePact),technical,False,False,True
DSP-03.2,DSP,NO,F_ORGANIZATIONAL,MISSING,No formal annual review cadence — policies updated with codebase changes. See GOVERNANCE.md; not calendar-driven operational proof.,,CSP (WhitePact),human,False,False,False
DSP-04.1,DSP,NO,F_ORGANIZATIONAL,MISSING,OWNER ASSERTION / narrative only — no verifiable repository implementation cited. PII vs. non-PII is distinguished at the schema level (EncryptedString columns vs. plain columns); no formal multi-tier classification scheme beyond that.,,CSP (WhitePact),human,False,False,False
DSP-05.1,DSP,NO,F_ORGANIZATIONAL,MISSING,No formal data-flow diagram document exists yet -- THREAT_MODEL.md documents trust boundaries but not a full data-flow map.,,CSP (WhitePact),human,False,False,False
DSP-05.2,DSP,NO,F_ORGANIZATIONAL,MISSING,"No formal annual review cadence yet -- solo-founder team, policies are updated as the codebase changes rather than on a calendar. See GOVERNANCE.md.",Owner sign-off required.,CSP (WhitePact),human,False,False,False
DSP-06.1,DSP,NO,F_ORGANIZATIONAL,MISSING,No formal data-stewardship-ownership document -- solo founder is the de facto owner of all data.,Owner sign-off required.,CSP (WhitePact),human,False,False,False
DSP-06.2,DSP,NO,F_ORGANIZATIONAL,MISSING,"No formal annual review cadence yet -- solo-founder team, policies are updated as the codebase changes rather than on a calendar. See GOVERNANCE.md.",Owner sign-off required.,CSP (WhitePact),human,False,False,False
