question_id,before,after,evidence_strength,remediation_type,changed_in_campaign
DCS-03.2,UNASSESSED,NO,WEAK,G_CLOUD_SUBPROCESSOR,False
DCS-03.3,UNASSESSED,NA,MODERATE,G_CLOUD_SUBPROCESSOR,False
DCS-04.1,UNASSESSED,NO,WEAK,G_CLOUD_SUBPROCESSOR,False
DCS-04.2,UNASSESSED,NO,WEAK,G_CLOUD_SUBPROCESSOR,False
DCS-05.1,UNASSESSED,NA,MODERATE,G_CLOUD_SUBPROCESSOR,False
DCS-05.2,UNASSESSED,NA,MODERATE,G_CLOUD_SUBPROCESSOR,False
DCS-06.1,UNASSESSED,NO,WEAK,G_CLOUD_SUBPROCESSOR,False
DCS-06.2,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
DCS-07.1,UNASSESSED,NO,WEAK,G_CLOUD_SUBPROCESSOR,False
DCS-07.2,UNASSESSED,NO,WEAK,G_CLOUD_SUBPROCESSOR,False
DCS-08.1,UNASSESSED,NO,WEAK,G_CLOUD_SUBPROCESSOR,False
DCS-09.1,UNASSESSED,NO,WEAK,G_CLOUD_SUBPROCESSOR,False
DCS-10.1,UNASSESSED,NO,WEAK,G_CLOUD_SUBPROCESSOR,False
DCS-10.2,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
DCS-11.1,UNASSESSED,NO,WEAK,G_CLOUD_SUBPROCESSOR,False
DCS-12.1,UNASSESSED,NO,WEAK,G_CLOUD_SUBPROCESSOR,False
DCS-13.1,UNASSESSED,NO,WEAK,G_CLOUD_SUBPROCESSOR,False
DCS-14.1,UNASSESSED,NO,WEAK,G_CLOUD_SUBPROCESSOR,False
DCS-15.1,UNASSESSED,NO,WEAK,G_CLOUD_SUBPROCESSOR,False
DCS-16.1,UNASSESSED,NA,MODERATE,G_CLOUD_SUBPROCESSOR,False
DCS-17.1,UNASSESSED,NA,MODERATE,G_CLOUD_SUBPROCESSOR,False
DCS-18.1,UNASSESSED,NA,MODERATE,G_CLOUD_SUBPROCESSOR,False
DSP-01.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
DSP-01.2,UNASSESSED,NO,WEAK,F_ORGANIZATIONAL,False
DSP-02.1,UNASSESSED,NO,WEAK,G_CLOUD_SUBPROCESSOR,False
DSP-03.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
DSP-03.2,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
DSP-04.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
DSP-05.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
DSP-05.2,UNASSESSED,NO,WEAK,F_ORGANIZATIONAL,False
DSP-06.1,UNASSESSED,NO,WEAK,F_ORGANIZATIONAL,False
DSP-06.2,UNASSESSED,NO,WEAK,F_ORGANIZATIONAL,False
DSP-07.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
DSP-08.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
DSP-08.2,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
DSP-09.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
DSP-10.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
DSP-11.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
DSP-12.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
DSP-13.1,UNASSESSED,NO,WEAK,E_CI_SUPPLY_CHAIN,False
DSP-14.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
DSP-15.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
DSP-16.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
DSP-17.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
DSP-18.1,UNASSESSED,NO,WEAK,F_ORGANIZATIONAL,False
DSP-19.1,UNASSESSED,NO,WEAK,G_CLOUD_SUBPROCESSOR,False
DSP-20.1,UNASSESSED,YES,MODERATE,A_SOURCE_CODE,False
DSP-21.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
DSP-22.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
DSP-23.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
DSP-23.2,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
DSP-24.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
GRC-01.1,UNASSESSED,NO,WEAK,F_ORGANIZATIONAL,False
GRC-01.2,UNASSESSED,NO,WEAK,F_ORGANIZATIONAL,False
GRC-02.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
GRC-03.1,UNASSESSED,NO,WEAK,F_ORGANIZATIONAL,False
GRC-04.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
GRC-05.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
GRC-06.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
GRC-07.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
GRC-07.2,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
GRC-08.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
GRC-09.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
GRC-09.2,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
GRC-10.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
GRC-11.1,UNASSESSED,YES,MODERATE,A_SOURCE_CODE,False
GRC-12.1,UNASSESSED,NO,WEAK,F_ORGANIZATIONAL,False
GRC-13.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
GRC-14.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
GRC-15.1,UNASSESSED,YES,STRONG,A_SOURCE_CODE,False
HRS-01.1,UNASSESSED,NO,WEAK,F_ORGANIZATIONAL,False
HRS-01.2,UNASSESSED,NO,NONE,G_CLOUD_SUBPROCESSOR,True
HRS-01.3,UNASSESSED,NO,NONE,G_CLOUD_SUBPROCESSOR,True
HRS-02.1,UNASSESSED,NO,WEAK,F_ORGANIZATIONAL,False
HRS-02.2,UNASSESSED,NO,NONE,G_CLOUD_SUBPROCESSOR,True
HRS-03.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
HRS-03.2,UNASSESSED,NO,NONE,G_CLOUD_SUBPROCESSOR,True
HRS-04.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
HRS-04.2,UNASSESSED,NO,NONE,G_CLOUD_SUBPROCESSOR,True
HRS-05.1,UNASSESSED,NO,NONE,G_CLOUD_SUBPROCESSOR,True
HRS-06.1,UNASSESSED,NO,NONE,G_CLOUD_SUBPROCESSOR,True
HRS-07.1,UNASSESSED,NO,NONE,G_CLOUD_SUBPROCESSOR,True
HRS-08.1,UNASSESSED,NO,NONE,G_CLOUD_SUBPROCESSOR,True
HRS-09.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
HRS-10.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
HRS-11.1,UNASSESSED,NO,WEAK,F_ORGANIZATIONAL,False
HRS-11.2,UNASSESSED,NO,NONE,G_CLOUD_SUBPROCESSOR,True
HRS-12.1,UNASSESSED,NO,NONE,G_CLOUD_SUBPROCESSOR,True
HRS-13.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
HRS-14.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
HRS-14.2,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
HRS-15.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
IAM-01.1,UNASSESSED,NO,WEAK,A_SOURCE_CODE,True
IAM-01.2,UNASSESSED,NO,WEAK,F_ORGANIZATIONAL,False
IAM-02.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
IAM-02.2,UNASSESSED,NO,WEAK,F_ORGANIZATIONAL,False
IAM-03.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
IAM-04.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
IAM-05.1,UNASSESSED,YES,MODERATE,A_SOURCE_CODE,False
IAM-06.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
IAM-07.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
IAM-08.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
IAM-09.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
IAM-10.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
IAM-10.2,UNASSESSED,NO,NONE,G_CLOUD_SUBPROCESSOR,True
IAM-11.1,UNASSESSED,NO,WEAK,H_CUSTOMER_SHARED,False
IAM-12.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
IAM-13.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
IAM-13.2,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
IAM-14.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
IAM-15.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
IAM-16.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
IAM-17.1,UNASSESSED,YES,MODERATE,A_SOURCE_CODE,False
IAM-18.1,UNASSESSED,YES,MODERATE,A_SOURCE_CODE,False
IPY-01.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
IPY-01.2,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
IPY-02.1,UNASSESSED,NO,WEAK,H_CUSTOMER_SHARED,False
IPY-03.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
IPY-04.1,UNASSESSED,NO,WEAK,H_CUSTOMER_SHARED,False
I&S-01.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
I&S-01.2,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
I&S-02.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
I&S-03.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
I&S-03.2,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
I&S-04.1,UNASSESSED,NA,MODERATE,G_CLOUD_SUBPROCESSOR,False
I&S-05.1,UNASSESSED,NO,WEAK,A_SOURCE_CODE,True
I&S-05.2,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
I&S-06.1,UNASSESSED,YES,MODERATE,H_CUSTOMER_SHARED,False
I&S-07.1,UNASSESSED,NO,NONE,G_CLOUD_SUBPROCESSOR,True
I&S-07.2,UNASSESSED,NO,NONE,G_CLOUD_SUBPROCESSOR,True
I&S-08.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
I&S-09.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
LOG-01.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
LOG-01.2,UNASSESSED,NO,WEAK,F_ORGANIZATIONAL,False
LOG-02.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
LOG-03.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
LOG-03.2,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
LOG-04.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
LOG-05.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
LOG-05.2,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
LOG-06.1,UNASSESSED,NO,WEAK,G_CLOUD_SUBPROCESSOR,False
LOG-07.1,UNASSESSED,NO,WEAK,A_SOURCE_CODE,True
LOG-07.2,UNASSESSED,NO,WEAK,F_ORGANIZATIONAL,False
LOG-08.1,UNASSESSED,NO,WEAK,H_CUSTOMER_SHARED,False
LOG-09.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
LOG-10.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
LOG-11.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
LOG-12.1,UNASSESSED,NO,NONE,G_CLOUD_SUBPROCESSOR,True
LOG-13.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
LOG-14.1,UNASSESSED,NO,WEAK,A_SOURCE_CODE,True
LOG-14.2,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
LOG-15.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
LOG-16.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
MDS-01.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
MDS-01.2,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
MDS-02.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
MDS-02.2,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
MDS-03.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
MDS-03.2,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
MDS-04.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
MDS-05.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
MDS-06.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
MDS-07.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
MDS-08.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
MDS-08.2,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
MDS-09.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
MDS-10.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
MDS-11.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
MDS-11.2,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
MDS-12.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
MDS-12.2,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
MDS-13.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
SEF-01.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
SEF-01.2,UNASSESSED,NO,WEAK,F_ORGANIZATIONAL,False
SEF-02.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
SEF-02.2,UNASSESSED,NO,WEAK,F_ORGANIZATIONAL,False
SEF-03.1,UNASSESSED,NO,WEAK,H_CUSTOMER_SHARED,False
SEF-04.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
SEF-05.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
SEF-06.1,UNASSESSED,YES,MODERATE,A_SOURCE_CODE,False
SEF-07.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
SEF-07.2,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
SEF-08.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
SEF-08.2,UNASSESSED,NO,WEAK,E_CI_SUPPLY_CHAIN,False
SEF-09.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
SEF-09.2,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
SEF-10.1,UNASSESSED,NO,WEAK,F_ORGANIZATIONAL,False
SEF-10.2,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
STA-01.1,UNASSESSED,NO,WEAK,E_CI_SUPPLY_CHAIN,False
STA-01.2,UNASSESSED,NO,WEAK,F_ORGANIZATIONAL,False
STA-02.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
STA-02.2,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
STA-03.1,UNASSESSED,NO,WEAK,E_CI_SUPPLY_CHAIN,False
STA-04.1,UNASSESSED,NO,WEAK,H_CUSTOMER_SHARED,False
STA-05.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
STA-06.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
STA-07.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
STA-08.1,UNASSESSED,NO,WEAK,E_CI_SUPPLY_CHAIN,False
STA-09.1,UNASSESSED,NO,WEAK,E_CI_SUPPLY_CHAIN,False
STA-09.2,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
STA-10.1,UNASSESSED,NO,NONE,G_CLOUD_SUBPROCESSOR,True
STA-11.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
STA-12.1,UNASSESSED,NO,WEAK,E_CI_SUPPLY_CHAIN,False
STA-13.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
STA-14.1,UNASSESSED,NO,WEAK,E_CI_SUPPLY_CHAIN,False
STA-15.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
STA-16.1,UNASSESSED,NO,WEAK,E_CI_SUPPLY_CHAIN,False
TVM-01.1,UNASSESSED,YES,MODERATE,A_SOURCE_CODE,False
TVM-01.2,UNASSESSED,NO,WEAK,F_ORGANIZATIONAL,False
TVM-02.1,UNASSESSED,NO,WEAK,F_ORGANIZATIONAL,False
TVM-02.2,UNASSESSED,NO,NONE,G_CLOUD_SUBPROCESSOR,True
TVM-03.1,UNASSESSED,YES,MODERATE,A_SOURCE_CODE,False
TVM-04.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
TVM-04.2,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
TVM-05.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
TVM-06.1,UNASSESSED,NO,WEAK,G_CLOUD_SUBPROCESSOR,False
TVM-07.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
TVM-08.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
TVM-09.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
TVM-10.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
TVM-11.1,UNASSESSED,YES,MODERATE,G_CLOUD_SUBPROCESSOR,False
TVM-12.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
TVM-13.1,UNASSESSED,YES,STRONG,G_CLOUD_SUBPROCESSOR,False
TVM-13.2,UNASSESSED,NO,WEAK,G_CLOUD_SUBPROCESSOR,False
UEM-01.1,UNASSESSED,NO,WEAK,F_ORGANIZATIONAL,False
UEM-01.2,UNASSESSED,NO,NONE,G_CLOUD_SUBPROCESSOR,True
UEM-02.1,UNASSESSED,NO,WEAK,F_ORGANIZATIONAL,False
UEM-03.1,UNASSESSED,NO,NONE,G_CLOUD_SUBPROCESSOR,True
UEM-04.1,UNASSESSED,NO,WEAK,F_ORGANIZATIONAL,False
UEM-05.1,UNASSESSED,NO,WEAK,F_ORGANIZATIONAL,False
UEM-06.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
UEM-07.1,UNASSESSED,NO,NONE,G_CLOUD_SUBPROCESSOR,True
UEM-08.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
UEM-09.1,UNASSESSED,NO,WEAK,F_ORGANIZATIONAL,False
UEM-10.1,UNASSESSED,NO,WEAK,F_ORGANIZATIONAL,False
UEM-11.1,UNASSESSED,NO,NONE,G_CLOUD_SUBPROCESSOR,True
UEM-12.1,UNASSESSED,NO,NONE,G_CLOUD_SUBPROCESSOR,True
UEM-13.1,UNASSESSED,NO,NONE,G_CLOUD_SUBPROCESSOR,True
UEM-14.1,UNASSESSED,NO,WEAK,G_CLOUD_SUBPROCESSOR,False
